classification,symbol,trades,net_pnl,avg_pnl,win_rate
Extreme Fear,@107,67,963.025943,14.373521537313433,0.3283582089552239
Extreme Fear,@4,28,648.984412,23.178014714285716,0.5357142857142857
Extreme Fear,@49,4,-40.712216999999995,-10.178054249999999,0.0
Extreme Fear,@8,2,0.0,0.0,0.0
Extreme Fear,AAVE,3,54.547115999999995,18.182371999999997,0.6666666666666666
Extreme Fear,ADA,5,0.0,0.0,0.0
Extreme Fear,AI,6,29.920432,4.986738666666667,0.5
Extreme Fear,AI16Z,29,499.510375,17.22449568965517,0.4482758620689655
Extreme Fear,AIXBT,5,71.32288,14.264576,0.6
Extreme Fear,ALGO,1,0.0,0.0,0.0
Extreme Fear,APE,10,0.0,0.0,0.0
Extreme Fear,APT,1,0.0,0.0,0.0
Extreme Fear,ARB,1,0.0,0.0,0.0
Extreme Fear,AVAX,2,0.0,0.0,0.0
Extreme Fear,BADGER,10,22.546093,2.2546093,0.6
Extreme Fear,BIO,2,0.0,0.0,0.0
Extreme Fear,BLAST,1,0.0,0.0,0.0
Extreme Fear,BLUR,1,0.0,0.0,0.0
Extreme Fear,BNB,1,0.0,0.0,0.0
Extreme Fear,BOME,2,0.0,0.0,0.0
Extreme Fear,BRETT,3,0.0,0.0,0.0
Extreme Fear,BTC,145,5677.681742,39.15642580689655,0.27586206896551724
Extreme Fear,CHILLGUY,1,0.0,0.0,0.0
Extreme Fear,CRV,36,17.724967999999993,0.49236022222222203,0.1388888888888889
Extreme Fear,DOGE,1,0.0,0.0,0.0
Extreme Fear,DYM,2,0.0,0.0,0.0
Extreme Fear,EIGEN,1,0.0,0.0,0.0
Extreme Fear,ENA,61,0.0,0.0,0.0
Extreme Fear,ETH,166,3.324684,0.02002821686746988,0.006024096385542169
Extreme Fear,FARTCOIN,31,-5606.857421000001,-180.86636841935487,0.1935483870967742
Extreme Fear,FTT,12,9.813842000000001,0.8178201666666668,0.3333333333333333
Extreme Fear,GALA,6,0.0,0.0,0.0
Extreme Fear,GMT,1,0.0,0.0,0.0
Extreme Fear,GOAT,1,102.50732,102.50732,1.0
Extreme Fear,GRASS,20,44.727662,2.2363831000000003,0.25
Extreme Fear,HBAR,2,0.0,0.0,0.0
Extreme Fear,HPOS,2,0.0,0.0,0.0
Extreme Fear,HYPE,1310,1359.117594,1.0374943465648856,0.38549618320610685
Extreme Fear,ILV,1,0.0,0.0,0.0
Extreme Fear,IMX,2,0.0,0.0,0.0
Extreme Fear,IO,3,0.5836,0.19453333333333334,1.0
Extreme Fear,JUP,12,21.279519999999998,1.7732933333333332,0.16666666666666666
Extreme Fear,LINK,2,0.0,0.0,0.0
Extreme Fear,MELANIA,27,0.0,0.0,0.0
